QualityFloor,Feasible,Outcomes,EarningsGain,AverageGain,CostPerOutcome
37000,1,112.275,5153233.66,45898.18,7837.87
42000,1,112.275,5153233.66,45898.18,7837.87
47000,1,110.605,5198448.98,47000.0,7956.22
52000,1,103.277,5370393.4,52000.0,8520.79
57000,1,95.837,5462696.13,57000.0,9182.28
62000,1,89.397,5542593.66,62000.0,9843.77
67000,1,83.441,5590574.09,67000.0,10546.32
72000,1,69.572,5009205.72,72000.0,12648.71
77000,0,,,,
