calendar_year,participants,placements,avg_starting_salary,avg_salary_gain,source
2022,7041,1116,66481,,"Upwardly Global, 2022 Annual Report 'By the Numbers' - https://annual-report.upwardlyglobal.org/2022/by-the-numbers/"
2025,13350,1730,67580,58790,"Upwardly Global, Impact page (2025 annual metrics) - https://www.upwardlyglobal.org/impact/"
