fiscal_year,total_revenue,contributions,program_rev,invest_inc,revenue_netting,total_expense,officer_comp,other_salaries,payroll_tax,total_assets,total_liab,net_assets
2019,6750061,6528091,353671,3602,-135303,5531091,336307,3257098,283482,4915534,461151,4454383
2020,7016304,6738370,304509,21624,-48199,5670504,348404,3406913,290730,7157462,1357279,5800183
2021,11973523,11624463,383141,237,-34318,6893690,537859,3755210,339149,12593796,1713780,10880016
2022,19305952,18348946,1064285,14416,-121695,9316393,642262,5321071,454590,23406064,2536489,20869575
2023,22391041,20709887,1066130,672813,-57789,13659379,502983,7253251,606465,31782416,2181179,29601237
2024,28580411,26008174,1143216,1429021,0,18275646,1026038,9234306,800307,42583791,2676737,39907054
